signature	mean_A	mean_B	p_ttest	p_wilcox	p_ttest_Bonf	p_ttest_BH	p_wilcox_Bonf	p_wilcox_BH	n_samples	n_mutations	additional_sig	frac_extra	seed	amsd_p	replicate	param_set	run_id
SBS5	19.8	27.44	0.00227991492901917	0.00285977641932171	0.0775171075866518	0.0775171075866518	0.0972323982569383	0.0972323982569383	25	50	SBS40	0.1	1756167775	0.311	10	7	70
SBS5	21.92	25.92	0.0480825673657469	0.0485993306665741	1	0.412139035685655	1	0.424439900286851	25	50	SBS40	0.2	1756167843	0.034	1	8	71
SBS5	21.2	27.24	0.0245775822170114	0.0147909210340097	0.983103288680457	0.467552687542551	0.591636841360389	0.481507449905251	25	50	SBS40	0.2	1756167917	0.2	2	8	72
SBS5	20.04	29.4	0.000694578697846016	0.000677922122954288	0.0305614627052247	0.0305614627052247	0.0298285734099887	0.0298285734099887	25	50	SBS40	0.2	1756167991	0.11	3	8	73
SBS29	0	2.12	0.044970533930722	0.0411962568131011	1	0.498045254121412	1	0.498631708647676	25	50	SBS40	0.2	1756168065	0.049	4	8	74
SBS5	21.96	26.84	0.0743807325487364	0.0929964141442596	1	0.409108601599732	1	0.415608628198282	25	50	SBS40	0.2	1756168137	0.213	5	8	75
SBS5	20.84	30.44	0.00119155872270972	0.000301447073902709	0.0452792314629693	0.0452792314629693	0.0114549888083029	0.0114549888083029	25	50	SBS40	0.2	1756168210	0.001	6	8	76
SBS19	0	0.88	0.0917994948868049	0.0811678810492241	1	0.498045254121412	1	0.461565351508669	25	50	SBS40	0.2	1756168282	0.3	7	8	77
SBS10a	0.52	0	0.0849284689633358	0.0811247918835483	1	0.412804090842589	1	0.424037205884302	25	50	SBS40	0.2	1756168353	0.03	8	8	78
SBS10b	1.04	0	0.0462871547225223	0.0412182474405711	1	0.436382508373047	1	0.457099687472195	25	50	SBS40	0.2	1756168426	0.038	9	8	79
SBS5	21.8	28.4	0.00954698146916074	0.0135435655001787	0.286409444074822	0.286409444074822	0.406306965005361	0.406306965005361	25	50	SBS40	0.2	1756168502	0.142	10	8	80
SBS32	0.968	0.168	0.00888028691155123	0.00636399175196063	0.50617635395842	0.50617635395842	0.362747529861756	0.362747529861756	125	50	SBS40	0.02	1756168567	0.876	1	9	81
SBS32	1.136	0.248	0.0054233821080623	0.00783130319825424	0.309132780159551	0.309132780159551	0.446384282300492	0.446384282300492	125	50	SBS40	0.02	1756168699	0.114	2	9	82
SBS7c	0.184	0	0.0856143376594544	0.0828500660144023	1	0.645024443595183	1	0.656338783901041	125	50	SBS40	0.02	1756168824	0.117	3	9	83
SBS5	20.648	22.84	0.0369778231135914	0.0283094100719628	1	0.544616494700028	1	0.533932603225711	125	50	SBS40	0.02	1756168952	0.521	4	9	84
SBS1	15.232	13.904	0.0328929089172474	0.0784032124069072	1	0.619261955966465	1	0.623618082064332	125	50	SBS40	0.02	1756169084	0.633	5	9	85
SBS19	0.176	0.592	0.080867293462632	0.118081569143311	1	0.783633138142047	1	0.75647584737369	125	50	SBS40	0.02	1756169214	0.827	6	9	86
