ID	C_A.ACA	C_A.ACC	C_A.ACG	C_A.ACT	C_A.CCA	C_A.CCC	C_A.CCG	C_A.CCT	C_A.GCA	C_A.GCC	C_A.GCG	C_A.GCT	C_A.TCA	C_A.TCC	C_A.TCG	C_A.TCT	C_G.ACA	C_G.ACC	C_G.ACG	C_G.ACT	C_G.CCA	C_G.CCC	C_G.CCG	C_G.CCT	C_G.GCA	C_G.GCC	C_G.GCG	C_G.GCT	C_G.TCA	C_G.TCC	C_G.TCG	C_G.TCT	C_T.ACA	C_T.ACC	C_T.ACG	C_T.ACT	C_T.CCA	C_T.CCC	C_T.CCG	C_T.CCT	C_T.GCA	C_T.GCC	C_T.GCG	C_T.GCT	C_T.TCA	C_T.TCC	C_T.TCG	C_T.TCT	T_A.ATA	T_A.ATC	T_A.ATG	T_A.ATT	T_A.CTA	T_A.CTC	T_A.CTG	T_A.CTT	T_A.GTA	T_A.GTC	T_A.GTG	T_A.GTT	T_A.TTA	T_A.TTC	T_A.TTG	T_A.TTT	T_C.ATA	T_C.ATC	T_C.ATG	T_C.ATT	T_C.CTA	T_C.CTC	T_C.CTG	T_C.CTT	T_C.GTA	T_C.GTC	T_C.GTG	T_C.GTT	T_C.TTA	T_C.TTC	T_C.TTG	T_C.TTT	T_G.ATA	T_G.ATC	T_G.ATG	T_G.ATT	T_G.CTA	T_G.CTC	T_G.CTG	T_G.CTT	T_G.GTA	T_G.GTC	T_G.GTG	T_G.GTT	T_G.TTA	T_G.TTC	T_G.TTG	T_G.TTT
TCGA-A7-A4SC-01A-12D-A25Q-09	2	0	0	0	0	0	0	0	4	2	4	0	2	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	6	0	0	0	8	0	0	4	6	2	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0
TCGA-A7-A4SD-01A-11D-A25Q-09	0	2	0	4	2	2	0	2	0	0	0	2	4	4	0	0	2	1	2	0	0	0	0	0	0	0	0	2	2	2	0	0	6	2	12	0	4	0	15	0	2	4	11	0	2	0	8	0	0	0	1	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	2	0	2	0	6	4	0	2	0	0	0	2	0	2	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0
TCGA-A7-A4SE-01A-11D-A25Q-09	2	4	2	4	4	6	2	2	2	4	0	1	0	7	4	2	0	8	0	1	4	0	2	4	4	4	0	0	12	14	0	24	2	3	8	6	4	4	3	1	10	6	3	9	12	6	0	6	1	0	0	0	2	2	4	2	2	0	4	4	2	0	0	4	0	2	0	4	1	0	0	2	4	2	4	2	0	2	0	0	0	0	0	0	0	2	0	2	0	2	0	1	0	0	0	4
TCGA-A7-A56D-01A-11D-A27P-09	2	2	0	2	0	2	0	2	0	0	0	0	2	14	6	15	2	0	0	2	0	0	2	6	0	6	0	0	24	10	6	33	7	3	14	4	6	4	18	4	6	5	20	6	66	20	28	38	0	3	0	0	4	0	4	4	0	0	2	2	0	0	0	0	2	0	2	6	0	0	0	4	0	0	0	2	2	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
TCGA-A7-A5ZV-01A-11D-A28B-09	4	3	0	1	4	4	4	2	2	4	0	3	2	6	0	2	4	4	3	0	1	2	4	3	6	2	2	2	7	10	2	11	3	5	7	0	2	5	13	3	2	3	9	1	3	5	7	5	0	0	0	2	1	1	3	2	1	1	0	1	0	2	1	2	1	2	9	2	4	2	2	2	2	1	0	1	0	2	0	1	1	1	3	2	1	0	3	6	0	1	2	0	0	1	2	0
TCGA-A7-A5ZW-01A-12D-A29N-09	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	1	4	0	0	0	0	2	0	1	2	0	4	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A7-A5ZX-01A-12D-A29N-09	0	2	0	0	2	2	0	0	4	2	0	2	0	0	0	2	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	4	0	0	4	0	0	2	4	0	4	4	8	6	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0
TCGA-A7-A6VV-01A-22D-A33E-09	3	0	0	0	1	1	0	2	0	1	0	1	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	1	3	3	1	3	2	0	6	0	1	4	6	4	2	0	3	0	1	2	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TCGA-A7-A6VW-01A-21D-A33E-09	0	1	0	1	2	3	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	1	2	1	1	0	1	2	0	0	2	1	2	5	1	2	2	3	2	1	1	1	0	3	0	3	0	0	0	1	1	0	1	2	0	0	0	1	0	1	1	0	0	3	1	2	0	2	1	0	3	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0
TCGA-A7-A6VX-01A-12D-A33E-09	0	3	0	3	3	3	3	2	2	6	0	4	1	5	0	0	0	3	0	2	1	1	1	2	2	2	1	2	8	2	5	2	2	1	4	2	6	2	3	1	2	3	3	3	14	6	3	9	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	2	2	2	0	2	2	0	0	0	1	1	0	2	2	0	0	1	0	0	1	1	0	3	0	0	2	1	0	1	1	1
